GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,facebook.com,com,495534,2574302,facebook.com,com,1,1,495537,2574589
2,2,google.com,com,495485,2414391,google.com,com,2,2,495477,2414170
3,3,youtube.com,com,445919,2083475,youtube.com,com,3,3,445919,2083701
4,4,twitter.com,com,439810,2062284,twitter.com,com,4,4,439852,2062284
5,5,instagram.com,com,381749,1762636,instagram.com,com,5,5,381892,1763288
6,6,linkedin.com,com,356825,1469838,linkedin.com,com,6,6,356846,1469990
7,7,apple.com,com,283297,910152,apple.com,com,7,7,283516,909746
8,8,microsoft.com,com,279504,826126,microsoft.com,com,8,8,279622,825555
9,1,wikipedia.org,org,270901,962015,wikipedia.org,org,9,1,270979,962302
10,9,googletagmanager.com,com,266431,922171,googletagmanager.com,com,10,9,266541,922018
11,2,wordpress.org,org,258553,1068154,wordpress.org,org,11,2,258878,1069363
12,1,youtu.be,be,236910,787300,youtu.be,be,12,1,237029,787374
13,3,en.wikipedia.org,org,225138,714623,en.wikipedia.org,org,13,3,225312,714782
14,10,pinterest.com,com,222034,866356,pinterest.com,com,14,10,222298,867066
15,11,play.google.com,com,216468,611262,play.google.com,com,15,11,216653,610866
16,12,github.com,com,213354,533308,github.com,com,16,12,213406,533076
17,13,vimeo.com,com,206614,712864,vimeo.com,com,17,13,206829,712913
18,14,maps.google.com,com,202630,707323,maps.google.com,com,18,14,202768,707332
19,1,goo.gl,gl,201285,658321,goo.gl,gl,19,1,201263,658042
20,15,plus.google.com,com,193071,678699,plus.google.com,com,20,15,193110,678303
21,1,bit.ly,ly,187879,563191,bit.ly,ly,21,1,188069,563209
22,16,docs.google.com,com,183977,538517,docs.google.com,com,22,16,184257,538575
23,17,adobe.com,com,180743,496514,adobe.com,com,23,17,180853,496159
24,18,wordpress.com,com,179080,563162,wordpress.com,com,24,18,179258,563375
25,19,amazon.com,com,173131,514002,amazon.com,com,25,19,173191,513653
